convention_id,formula_role,LP21_power,captured_power,offtarget_power,rho,ER_dB,basis_condition,target_group_count,LP21_rich,interpretation,boundary
sym_lorentz_mode_field,primary_formula,0.5528232893947512,0.5569801541318496,0.00415686473709842,0.9925367812367074,21.23820437804853,19.104471623813442,4,True,primary E/H formula LP21-rich,candidate E/H overlap formula family member; not a reviewed RSoft modal-amplitude convention
sym_lorentz_field_mode,primary_formula,0.5528232893947512,0.5569801541318496,0.00415686473709842,0.9925367812367074,21.23820437804853,19.104471623813442,4,True,primary E/H formula LP21-rich,candidate E/H overlap formula family member; not a reviewed RSoft modal-amplitude convention
oneway_e_field_cross_h_mode_star,primary_formula,0.5518796084886508,0.5565274178605444,0.004647809371893574,0.9916485527527806,20.7459604019991,7.795116334637781,4,True,primary E/H formula LP21-rich,candidate E/H overlap formula family member; not a reviewed RSoft modal-amplitude convention
oneway_e_mode_cross_h_field_star,primary_formula,0.5537678198342045,0.5574611513290769,0.003693331494872387,0.9933747284701958,21.759094252371938,7.795116334637781,4,True,primary E/H formula LP21-rich,candidate E/H overlap formula family member; not a reviewed RSoft modal-amplitude convention
eh_component_inner_product_control,diagnostic_control,0.5526133721823356,0.5569264723911711,0.004313100208835463,0.9922555302671875,21.076318413135795,1.0001735786706303,4,True,"diagnostic control, not formal convention",candidate E/H overlap formula family member; not a reviewed RSoft modal-amplitude convention
