solver,fallback_role,length_m,pitch_um,angle_deg,n_inputs,n_scf_modes,n_fmf_modes,target_group_count,lp11x_like_count,input_power,captured_power,rho_LP11_group,eta_LP11_group,ER_LP11_group_dB,rho_LP11x_like,eta_LP11x_like,ER_LP11x_like_dB,LP01_leakage,eta_gate,eta_gate_pass,eta_gate_enforced,eta_physical_check,input_gram_condition,scf_gram_condition,fmf_gram_condition,smf_x_mode_index,smf_y_mode_index,smf_x_mode_label,smf_y_mode_label,smf_x_y_distinct
lumerical,primary_highest_eta,0.00415,42.5,10.0,4,96,12,4,1,0.9999999940418952,0.4350731644271279,1.0,0.4350731644271279,296.3856229398798,0.07478708664809136,0.032537854446270914,-10.924150701720933,1.5887436807641826e-26,0.5,False,False,True,36.78698551826907,2.925780223317073,1.1943910546609589,0,1,mode1,mode2,True
comsol,primary_highest_eta,0.00415,42.5,10.0,4,96,12,4,2,10.241186412383167,0.3408487421246437,0.9997174042715257,0.34075241972606346,35.48711659828934,0.6546950869307513,0.22315199685553086,2.778363242064765,4.666404813121453e-06,0.5,False,False,True,1.0005360680744309,1.2253398573154666,1.1196650557702548,0,1,smf_mode01,smf_mode02,True
lumerical,orientation_sanity,0.00415,37.5,90.0,4,96,12,4,1,1.0000000000000002,0.3621066082940296,1.0,0.3621066082940296,295.5883645058184,0.0019511452874426912,0.0007065226023247524,-27.088621913035375,7.927155058017105e-27,0.5,False,False,True,36.81421656055796,2.925780223317073,1.1943910546609589,0,1,mode1,mode2,True
comsol,orientation_sanity,0.00415,37.5,90.0,4,96,12,4,2,5.758340806262157,0.32015713064381063,0.9995355736147388,0.3200084412249101,33.32881370174727,0.061078003746026406,0.019554558424779732,-11.867446791808515,7.41282952808021e-06,0.5,False,False,True,1.0005736302824342,1.2253398573154666,1.1196650557702548,0,1,smf_mode01,smf_mode02,True
