fallback_role,replay_source,synthetic,eta_gate,eta_gate_pass,eta_gate_enforced,strict_gate_pass_if_enforced,continuation_allowed,record_decision,launch_vector_coefficients_used,launch_vector_padded_or_truncated,scf_port_euclidean_power_after_norm,launch_label,eta_LP11_group,rho_LP11_group,ER_LP11_group_dB,captured_power,LP01_leakage,reflection_estimate,radiation_loss_estimate,scf_port_euclidean_power_before_norm,alignment_to_unconstrained_scf_optimal,orientation_gate_pass,orientation_best_angle_deg,orientation_best_projection_power,orientation_target_x_projection_power,orientation_target_y_projection_power,orientation_target_x_fraction_of_best,orientation_target_y_fraction_of_best,orientation_angle_error_to_x_deg,orientation_lp11_scalar_projection_fraction_of_transverse,orientation_total_transverse_scalar_power,scf_launch_gram_power_before_norm,control_ch0_real,control_ch0_imag,control_ch1_real,control_ch1_imag,amplitude_ratio_ch1_over_ch0,relative_phase_deg,input_power,energy_target_LP11,energy_retained_non_target,energy_retained_LP01,energy_fmf_captured_total,energy_s11_reflection,energy_residual_or_unretained,energy_residual_raw,energy_account_clipped_sum
primary_highest_eta,packaged_real_recheck_launch_vector,False,0.5,False,False,False,True,continued_under_relaxed_eta_gate,96,False,1.0000000000000004,primary_highest_eta,0.2916374432567958,1.0,294.64843282183205,0.2916374432567958,5.920370948008571e-26,4.071256853292054e-09,0.7083625526719473,1.0000000000000004,0.07347676633115752,False,155.0,98.59397183526671,87.35477914867356,46.56030883344036,0.8860052751970284,0.47224295732029636,25.0,0.6505278922604474,151.55994540475956,1.000021901417134,,,,,,,,0.2916374432567958,0.0,5.920370948008571e-26,0.2916374432567958,4.071256853292054e-09,0.7083625526719473,0.7083625526719473,0.9999999999999999
orientation_sanity,packaged_real_recheck_launch_vector,False,0.5,False,False,False,True,continued_under_relaxed_eta_gate,96,False,1.0000000000000002,orientation_sanity,0.2794419955167647,1.0,294.4629167397093,0.2794419955167647,1.2788701536477581e-26,3.939470455326542e-09,0.720558000543765,1.0000000000000002,0.09187905508498687,True,1.0,67.19253310632016,67.19128146538623,61.131595829895346,0.9999813723210591,0.9097974581962186,1.0,0.46269425986727625,145.22015709811123,1.0004622265354224,,,,,,,,0.2794419955167647,0.0,1.2788701536477581e-26,0.2794419955167647,3.939470455326542e-09,0.720558000543765,0.720558000543765,1.0
